iter	Logloss
224	0.1634668967
225	0.1632789065
226	0.1628608245
227	0.1626119209
228	0.1623365398
229	0.1621290196
230	0.1619390447
231	0.1614619477
232	0.1612282171
233	0.1609215652
234	0.1605345639
235	0.1602607607
236	0.1601245013
237	0.1599821851
238	0.1597528516
239	0.1593413426
240	0.1590785083
241	0.1586938815
242	0.1584432768
243	0.1582272728
244	0.1579942752
245	0.1577562996
246	0.1572772548
247	0.1569923371
248	0.1567566559
249	0.1564734011
250	0.1560888045
251	0.1556969577
252	0.1555576103
253	0.1553677145
254	0.154963321
255	0.1546185088
256	0.1541818388
257	0.1539755095
258	0.1537691869
259	0.1536040204
260	0.1532919681
261	0.1530830246
262	0.1528080765
263	0.1525124784
264	0.152182539
265	0.151964277
266	0.1517210075
267	0.151466477
268	0.1512160391
269	0.1508458154
270	0.1505134514
271	0.1501839547
272	0.1499759338
273	0.1498375805
274	0.149481046
275	0.1492483475
276	0.1488761612
277	0.1486455869
278	0.1483969682
279	0.1481820702
280	0.1478206351
281	0.1475718686
282	0.1474051401
283	0.1471018023
284	0.1468889176
285	0.1466744276
286	0.146425549
287	0.1461883081
288	0.146045727
289	0.1458484873
290	0.145550342
291	0.1454281772
292	0.1452849853
293	0.1450481489
294	0.1448666709
295	0.144372911
296	0.1443019761
297	0.1441325333
298	0.1438525548
299	0.1436756097
300	0.1433796444
301	0.1431078915
302	0.1429272469
303	0.1426941671
304	0.1425456903
305	0.1422909954
306	0.1419704299
307	0.141713276
308	0.1412950494
309	0.141072816
310	0.1407519808
311	0.1405564591
312	0.1402290074
313	0.1399579551
314	0.139716269
315	0.1395517563
316	0.139354348
317	0.1391325947
318	0.1389530122
319	0.138653494
320	0.1384983775
321	0.1382199007
322	0.1379569038
323	0.1377321533
324	0.1376031663
325	0.1374329091
326	0.1371865296
327	0.1369907429
328	0.136741718
329	0.1363712014
330	0.1362041034
331	0.1359806363
332	0.1357359698
333	0.1355029677
334	0.1352587733
335	0.1349531312
336	0.1347558099
337	0.1344915451
338	0.1343236517
339	0.1341109041
340	0.1339932786
341	0.1337486316
342	0.1335730405
343	0.1332975354
344	0.1331041324
345	0.1328257837
346	0.1326312605
347	0.1324856019
348	0.1322800788
349	0.1320762203
350	0.1319118767
351	0.1317360583
352	0.1316075286
353	0.1312842705
354	0.1311328735
355	0.1308621663
356	0.1307275247
357	0.1305769273
358	0.1304432581
359	0.1300616557
360	0.1299321185
361	0.1296873752
362	0.1294946865
363	0.1291620072
364	0.1289896495
365	0.1288271114
366	0.128557332
367	0.1283236312
368	0.1281139933
369	0.1278348407
370	0.1276190941
371	0.1273255363
372	0.1270888392
373	0.126919382
374	0.1266650532
375	0.1265506369
376	0.1263855544
377	0.1262340885
378	0.1260944089
379	0.125952692
380	0.1257721045
381	0.1256235085
382	0.1254443905
383	0.1252910333
384	0.1250033824
385	0.1248610025
386	0.1247256701
387	0.1244635648
388	0.1241582791
389	0.1239527002
390	0.1237821844
391	0.1234979615
392	0.1234007993
393	0.1232125092
394	0.123055159
395	0.1228732276
396	0.1227796923
397	0.1226123609
398	0.1224438997
399	0.1222632756
