iter	Logloss
0	0.6311909355
1	0.5711149226
2	0.5259881303
3	0.4849300577
4	0.4556346118
5	0.4308827192
6	0.4083043353
7	0.3914977343
8	0.3744740365
9	0.3590936374
10	0.3461007137
11	0.3363950281
12	0.3286973463
13	0.3217722377
14	0.3151334599
15	0.3094001498
16	0.3049415314
17	0.3008792437
18	0.2964599547
19	0.2913634864
20	0.2872412313
21	0.284100212
22	0.2808621123
23	0.2780624386
24	0.2758210506
25	0.2735219137
26	0.2705107792
27	0.2685135947
28	0.2662171548
29	0.2648159469
30	0.2632687459
31	0.2616572588
32	0.2601817703
33	0.2583942274
34	0.2571522222
35	0.2559021538
36	0.2539303958
37	0.2525089108
38	0.2507604445
39	0.2495038953
40	0.2482375015
41	0.2472037618
42	0.2464245585
43	0.2449160133
44	0.2439343716
45	0.242801218
46	0.2419936012
47	0.2407827821
48	0.2401136199
49	0.2394195919
50	0.2384838975
51	0.2379387434
52	0.2372371139
53	0.2363469744
54	0.2356493574
55	0.2344330797
56	0.2337643859
57	0.232350849
58	0.2313002051
59	0.2307659429
60	0.2300791005
61	0.2297045006
62	0.2287167692
63	0.2280492511
64	0.227565144
65	0.227023837
66	0.2263907031
67	0.2254000899
68	0.2248973803
69	0.2241611501
70	0.2236900342
71	0.2230270902
72	0.2226123751
73	0.2221938099
74	0.2216602361
75	0.2213364779
76	0.2207824454
77	0.220068548
78	0.2192109423
79	0.2187676071
80	0.2182705885
81	0.2176484783
82	0.2170300997
83	0.2165581956
84	0.2158652145
85	0.2152612518
86	0.2148345755
87	0.2142210594
88	0.2137255673
89	0.2127948045
90	0.2119455199
91	0.2110470323
92	0.2106662345
93	0.2101868832
94	0.2097831333
95	0.2093311898
96	0.2089321492
97	0.2085930621
98	0.2080772958
99	0.2076809149
100	0.2072569812
101	0.2067679756
102	0.206236767
103	0.2056103907
104	0.205265798
105	0.2048213741
106	0.2043174936
107	0.2039684353
108	0.2035794952
109	0.2033158875
110	0.2024729054
111	0.2019125116
112	0.2015241304
113	0.2010684441
114	0.2006576456
115	0.200344542
116	0.1998806678
117	0.1994988187
118	0.1992297568
119	0.1988016288
120	0.1984924541
121	0.1982549965
122	0.197934636
123	0.1974331707
124	0.1968394406
125	0.1963816569
126	0.1960545304
127	0.1955078458
128	0.1949629304
129	0.1945612329
130	0.194238241
131	0.1938048
132	0.1935773782
133	0.1933072126
134	0.1928000824
135	0.1922647687
136	0.1920013834
137	0.1917808496
138	0.1913667819
139	0.1911773413
140	0.190754101
141	0.1905451495
142	0.1901781592
143	0.1898512241
144	0.1894707629
145	0.1891005103
146	0.1888585125
147	0.1885162049
148	0.187861399
149	0.187512643
150	0.187241891
151	0.1868676234
152	0.1865004694
153	0.186260799
154	0.185996502
155	0.1856928967
156	0.185358376
157	0.1850592193
158	0.1847604902
159	0.1842752272
160	0.1837720914
161	0.1834773745
162	0.1831147916
163	0.18281315
164	0.182446609
165	0.1822237904
166	0.181863293
167	0.1816602558
168	0.1813435329
169	0.181058372
170	0.1805205909
171	0.1802750246
172	0.1799069537
173	0.1796443094
174	0.1793473578
175	0.1790168555
176	0.1786090341
177	0.1782444659
178	0.1776771088
179	0.1774258172
180	0.1771094976
181	0.1768536942
182	0.1764918028
183	0.176067263
184	0.1755227257
185	0.1751021712
186	0.174666257
187	0.1743993338
188	0.1741472753
189	0.173755682
190	0.1735026688
191	0.1731932309
192	0.1727403559
193	0.1723012601
194	0.1720201261
195	0.1717983098
196	0.1715405504
197	0.1713169035
198	0.1708841673
199	0.17053821
200	0.170292253
201	0.1700870858
202	0.1697809889
203	0.1692741013
204	0.1688571611
205	0.1686487414
206	0.1684059541
207	0.1682284512
208	0.1679694432
209	0.1678256922
210	0.1674513438
211	0.1671317103
212	0.1667158053
213	0.1664479596
214	0.1660848152
215	0.1659147713
216	0.1656694625
217	0.1655118296
218	0.1652295097
219	0.1649800662
220	0.1647741289
221	0.1644517672
222	0.1641173308
223	0.1638004614
